order_purchase_timestamp,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,shipping_limit_date,price,freight_value,seller_zip_code_prefix,seller_city,seller_state,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_category_name_english,delivery_time,order_processing_time,time_of_delay,order_total_price,late_delivery,product_size_score,satisfaction,week_year,customer_city_freq,seller_state_freq,seller_city_freq,customer_state_freq,customer_zip_code_prefix_freq,seller_zip_code_prefix_freq
2018-07-24 20:41:37,47813,barreiras,BA,1.0,boleto,1.0,141.46,2018-07-30 03:24:27,118.7,22.76,31570.0,belo horizonte,SP,perfumaria,29.0,178.0,1.0,400.0,perfumery,12,1,5,141.46,0,0.01629513888888889,0.8,2018-29,0.0005182242183451373,0.7253411642770772,0.018483330454309898,0.03947141129728796,8.637070305752289e-05,0.0028502332008982553
2018-06-07 19:03:12,74820,goiania,GO,1.0,credit_card,10.0,146.45,2018-06-18 18:59:02,132.4,14.05,71931.0,brasilia,DF,perfumaria,39.0,991.0,3.0,150.0,perfumery,8,5,12,146.45000000000002,0,0.027777777777777776,1.0,2018-23,0.005441354292623942,0.006996026947659354,0.006909656244601831,0.019606149594057695,8.637070305752289e-05,0.00017274140611504577
2018-08-09 11:44:40,18052,sorocaba,SP,1.0,boleto,1.0,104.11,2018-08-14 03:24:51,89.9,14.21,14910.0,tabatinga,SP,papelaria,56.0,115.0,1.0,600.0,stationery,3,0,3,104.11000000000001,0,0.03723958333333333,1.0,2018-31,0.006045949214026602,0.7253411642770772,0.0006909656244601831,0.43565382622214543,0.00017274140611504577,0.0006909656244601831
2018-06-04 00:00:13,41213,salvador,BA,1.0,credit_card,10.0,227.68,2018-06-13 00:35:10,90.9,48.64,14910.0,tabatinga,SP,bebes,53.0,233.0,1.0,10950.0,baby,11,1,31,139.54000000000002,0,0.22777777777777777,0.2,2018-22,0.015460355847296598,0.7253411642770772,0.0006909656244601831,0.03947141129728796,0.00034548281223009154,0.0006909656244601831
2018-06-04 00:00:13,41213,salvador,BA,1.0,credit_card,10.0,227.68,2018-06-13 00:35:10,39.5,48.64,14940.0,ibitinga,SP,bebes,52.0,300.0,1.0,350.0,baby,11,1,31,88.14,0,0.012916666666666667,0.2,2018-22,0.015460355847296598,0.7253411642770772,0.0664190706512351,0.03947141129728796,0.00034548281223009154,0.0664190706512351
2018-04-16 21:15:39,55540,palmares,PE,1.0,credit_card,4.0,224.9,2018-04-22 22:10:26,186.9,38.0,11704.0,praia grande,SP,climatizacao,52.0,331.0,4.0,100.0,air_conditioning,18,0,9,224.9,0,0.02071875,0.2,2018-15,0.00025911210917256864,0.7253411642770772,0.016928657799274487,0.020124373812402833,0.00025911210917256864,0.00777336327517706
2018-06-01 12:23:13,54330,jaboatao dos guararapes,PE,1.0,boleto,1.0,508.17,2018-06-13 03:35:15,445.0,63.17,87303.0,campo mourao,PR,beleza_saude,28.0,1455.0,1.0,683.0,health_beauty,13,3,28,508.17,0,0.033229166666666664,1.0,2018-22,0.0019001554672655036,0.06901019174296079,0.0011228191397477975,0.020124373812402833,0.00017274140611504577,0.0011228191397477975
2018-07-29 11:24:17,95270,flores da cunha,RS,1.0,credit_card,1.0,52.24,2018-07-31 11:44:19,33.9,18.34,9230.0,santo andre/sao paulo,SP,esporte_lazer,53.0,891.0,2.0,1150.0,sports_leisure,4,0,10,52.239999999999995,0,0.019125,1.0,2018-30,0.00034548281223009154,0.7253411642770772,0.0005182242183451373,0.04456728277768181,0.00034548281223009154,0.0013819312489203662
2018-07-26 14:39:59,90620,porto alegre,RS,1.0,credit_card,2.0,151.04,2018-07-30 14:55:10,60.0,15.52,9628.0,sao bernardo do campo,SP,esporte_lazer,60.0,1153.0,2.0,100.0,sports_leisure,5,0,15,75.52,0,0.008402777777777778,0.2,2018-29,0.01105544999136293,0.7253411642770772,0.013992053895318707,0.04456728277768181,0.0006909656244601831,0.0024183796856106408
2018-07-26 14:39:59,90620,porto alegre,RS,1.0,credit_card,2.0,151.04,2018-07-30 14:55:10,60.0,15.52,9628.0,sao bernardo do campo,SP,esporte_lazer,60.0,1153.0,2.0,100.0,sports_leisure,5,0,15,75.52,0,0.008402777777777778,0.2,2018-29,0.01105544999136293,0.7253411642770772,0.013992053895318707,0.04456728277768181,0.0006909656244601831,0.0024183796856106408
