Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.17719921287991,3.41506518150013,-3.16615022065891,2.56225358775578,5.8985694010334,4.73768081475092,2.12148083355379,4.07201574110678,4.41083900341744,2.33732975738413,0.202947874139198,-2.0910550979319,0.890466180427183,2.65770691557481,4.49404929532982,2.68232822733793,1.68896122499937,4.28016683621337,3.89288654344983,5.14100353715349,5.1385391803606,1.87509810696022,2.99925535017809,1.80638512302554,3.09236384292251,3.21045439063563,2.63794375007348,2.04990463726786,0.995406301140747,-2.91508621550267,3.09080634469335,3.13719442170364,1.75566129145483,2.32581354806429,2.87346677785811,0.649971001734855,1.03855092490855,3.03383491200222,2.74296344906655,1.90843194590616,-5.03823343468899,5.95052802804381,4.18903628100851,1.52874550838358,1.5280811085284
Canada,CAN,Net migration,SM.POP.NETM,122743,113461,89544,66172,55982,69776,121928,171308,238003,258094,181461,134463,138121,133426,134863,141818,154553,144678,142346,158342,201727,222100,208060,185643,194611,204526,202175,213801,238083,244463,225369,227075,243748,239813,192884,224332,329455,372685,420224,387685,256592,198867,459988,433842,368599
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.663,75.712,75.874,76.035,76.195,76.354,76.502,76.522,76.542,76.562,76.582,76.62,76.887,77.152,77.414,77.675,77.951,78.34,78.724,79.103,79.478,79.81,79.888,79.967,80.045,80.122,80.213,80.396,80.578,80.758,80.937,81.096,81.137,81.178,81.218,81.259,81.3,81.35,81.411,81.482,81.562,81.653,81.752,81.862,81.98
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.28959497847156,1.23339725480528,1.18962434077573,0.988487567147771,0.944034716041094,0.91377427539001,0.994040150630969,1.31816778174498,1.29662488995999,1.79419351491939,1.50766067284807,1.24276123131684,1.18367554138942,1.09893087887878,1.09525810706129,1.03476948386834,1.04531178311831,0.993788591465188,0.829909353323744,0.812842623716166,0.931281553452429,1.0861994547665,1.08479328329522,0.899226809998674,0.932186964148048,0.94708626967041,1.01355939144957,0.970654173316653,1.083871149194,1.14470768476526,1.11135202971694,0.97540725097113,1.08374652233653,1.05338098055318,1.00142284689661,0.760300145238936,1.13153974027004,1.19543575451553,1.43322615679352,1.46171259938134,1.08436897113225,0.553902422386893,1.80390457488184,2.90468017061162,2.96220294420494
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,0.361,0.57,0.916,1.18,2.38,4.16,6.76,15.1,24.9,36.2,51.3,60.2,61.6,64.2,66,71.7,72.4,73.2,76.7,80.3,80.3,83,83,85.8,87.1,90,91.2,92.7,94.6,91.9,92.3,93.9,94,94,..
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,10.1292205085453,12.4716124148372,10.7689718997139,5.86358802977368,4.30477830391737,3.96203054065205,4.19478629085621,4.3561087122174,4.02823414871611,4.98362189985958,4.78047693336304,5.62586408593005,1.49013290374545,1.86507936507939,0.165562913907291,2.14876033057849,1.57053112507138,1.62121638084531,0.99594245665802,1.73484295105918,2.71943995691976,2.52512013979906,2.25839440940855,2.75856321360112,1.85725871857256,2.21355203439767,2.00202539534161,2.13838399266837,2.37027067444299,0.299466803009299,1.77687154092627,2.91213508872351,1.51567823124517,0.938291897815317,1.90663590717861,1.12524136094277,1.42875954701085,1.59688412852977,2.26822567248103,1.94926902411593,0.716999632307827,3.39519318527528,6.80280115341613,3.87900159788426,2.38158383281173
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,10.316,11.197,11.377,10.395,9.489,9.62,9.1,8.278,7.583,6.829,7.219,7.665,7.574,7.185,6.758,6.484,6.156,6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527,5.279,5.415,6.45
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.11563482971635,0.216022151557611,0.0286228735724806,1.35098439657101,1.59096403406333,0.343202681414642,0.714941620101729,1.98490566969318,1.41277624760156,1.2643683536102,1.40950377153528,0.573724262982079,1.18075190608283,0.721601695039317,1.64516287712472,2.25387303530621,1.39828193256897,2.31796973451973,3.93993821737617,4.04710363964717,9.17102428671511,3.84192129292478,3.21914767807145,0.782967555453216,0.141465896048034,2.17816380917594,4.87410128955105,8.20055904886214,4.5151371416977,1.52413118076926,1.83725638740881,2.13783310760835,2.70016900895675,3.62980398357006,3.55390337011002,3.85389453706153,2.23835012140903,1.53752071953934,2.46931207254863,2.80676687017653,1.75897085668576,2.97618288160973,2.29317324184365,1.93601776565032,2.77275799459458
Canada,CAN,"Population, total",SP.POP.TOTL,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.867987093611561,2.14738047140577,-4.31128436550856,1.55343271129863,4.9035541763206,3.78497425367219,1.11138102791371,2.70917396391555,3.06576122858351,0.517573811785454,-1.29644131211545,-3.30029993067963,-0.296709575701925,1.53574575465912,3.35581443227358,1.62528126114066,0.631530881733894,3.24897485599347,3.03423769242876,4.28983665547817,4.16394849476771,0.774519407466116,1.88796484648248,0.89501858100094,2.13581560192544,2.23757661617552,1.60290147691838,1.06414487775739,-0.0933427924909864,-4.02008809742583,1.95144744690714,2.13607717133128,0.658841956783917,1.2535901034471,1.84840952337521,-0.11236916498423,-0.0982963624127819,1.8094644720755,1.28092659672814,0.429657601305934,-6.06240642306676,5.36528781293082,2.32641594463436,-1.37792078609685,-1.43527963580455
